src_lang,tgt_lang,eng_translated,hit_translated
persevere,to gather.,harsan,to persevere.
šarli-,"upper(most), superior",šarāzzi (ya) -,"firm, steady, constant, eternal"
weda-i,to bring (here),wida-,to bring (here)
arsiya,"to eat well, take care of oneself.",annanu,"to rise, revolt; to halt."
LÚḫištum(n)a-,person pertaining to the ḫištā,šiššiyatar / šiššiyann-,rancher
"wizzapant-, wez(za)pant-","old, grown old",meuwant-,bearded
warāni,"for *warāri ""he burns"" (§182).",warāri,to strike.
ḫāni(ya)-,?,palkuiye/a- (tt) a (ri),bone (s); (metaphorically) strength; a measure of length (GÌR.PAD.DU)
palwāi,to cheer; to declaim.,suppis,to flee.
genzu,"fondness, love; genitals.",assuwātar,adv.
sakuwantariya,"to stop, rest.",harsu,"pure water, holy water (Hurrian)."
maknu-zi,"to make abundant, to increase, to multiply",šan (i) ezziya-i,"to multiply, to multiply, to multiply; to multiply, to multiply"
kutruwah,"to call as witness, make testify.",mark,to witness.
(LÚ)parāuwatalla-,lookout,LÚšapašalli-,guard
dusk,"to rejoice, be happy.",duskiya,"to press, push, suppress."
walliyatar / walliyann-,(song of) praise,šarlattašši-,"praise, fame"
patteššar / pattešn-,"excavation, pit, hole in the ground, breach (in wall)",(GIŠ) āšar / ann-,patrol
mayantaḫḫ-i,"to rejuvenate, to install youthfull vigor",meyanna-i,"to ferment, to agitate, to foment"
(UZU)genu- / ganu-,knee,genu-,"abdomen, lap"
šarḫuntalli-,"attacking(?), posing a threat(?)",šara-tta (ri),onion (?)
kistanziya,to become starving.,kistuwāi,to put out.
mald,"to vow, swear.",huek,to curse.
SÍGēšri-,fleece,UZUappuzzi-,grapevine
šarni(n)k-zi,"(abs.) to give compensation; (+ acc.) to compensate for something, to make up for something; ((+ acc.) + abl.) to compensate (for something) with something; (+ dat. + acc.) to compensate someone for something","šarnik-a (ri), šarnik-zi","to make up for, to make up, to bring after"
šuwa-,to fill,šunna-i / šunn-,to push
tierawartanna,for three laps,teriyalla-,for seven laps
mem(iy)anu-zi,"to have (someone) say, to recite, to make (someone) talk",teš (ša) nu-zi,"to approve, to approve of"
GIŠḫurki-,wheel,(RÚ) šalai-,umbilical
kane/išš-zi,"to recognize, to acknowledge",ārk-i / ark-,"to press (oneself), to stab, to pierce; to stick (to)"
weda-i,to bring (here),wida-,to bring (here)
šaraziēšš-zi,to prevail,išaršiye/a-zi,to be impressed
daššu- / daššaw-,"strong, powerful; heavy; well-fed; difficult; important",taruil (a) -,"to become heavy, to become pressing"
ḫaḫlaḫḫ-i,to make yellow(green),alanieške/a-zi,to yellow (green)
mišriwātar,"wholeness, brightness",ullanzatar / ullanzann-,"combination, arrangement, settlement."
« mamanna-,to look at,šakuwāye/a-zi,adv.
nū(t)-,"contentment(?), satisfaction(?)",šan (t) alla-,"pasture, meadow"
LÚhaliyatalla,guard of a temple.,LÚhilamma,"administrator, deputy."
weritema,fear.,werittah,"fear, fright."
iwar,"in the manner of, after the fashion of, like, as",māišta,postpos.
(d)in(n)arawant-,"strong, vigorous (deity)",tarhuēššar / tarhuēšn-,"strong, mighty, powerful"
pittauriya-,(man of the) great-allotment,šarlaim (m) i-,"anguish, worry, misery"
huisu,alive; raw (meat).,huiswant,noun of unknown meaning.
nekumant-,naked,NAKUŠtar / šannapili-,"impure, unclean; proven guilty by ordeal"
=a,but,= (m) a,"and, too"
(NA4)ḫararazi-,(upper) millstone(?),NA4perunant-,astringent
nu(n)tarnu-zi,"to hurry, to hasten; to rush into something",leliwa-i,"to quench, to quench, to purify; to declare innocent, to justifiy; to castrate; to clarify"
zamna/i-,?,palkuiye/a- (tt) a (ri),time
asesanu,to settle.,insal,to make sin.
tāyazil,theft.,teshawar,adv.
"ḫuini-zi, ḫuni-zi",to make run,paranu-zi,"to conjure, to bewitch"
ḫaštalēšš-zi,"to become brave, to turn warlike",aššēšš-zi,to become yellow
nekna-,brother,*nekuna-,sister-in-law
tameummēšš-zi,"to become different, to change (instr.)",yawēšš-zi,to become an object in the temple
zaḫzaḫḫiye/a-zi,to battle fiercely,arnu-zi,to battle (someone)
« war(ru)walan-,"seed, progeny",āšša-,"turn, turn"
kikki,to lie.,ki,"kikki ( kikki); kikki (ši) - ""to knock down"" (§11)."
damme/išḫā-,"damaging, act of violence, punishment",išanatt-,violently
ketpantalaz,from this time on,kinuntariyalla-,adv.
wetummar,construction work.,lahlahhiya,winter.
maninkuwah,trans.,arahzanda,to shorten.
tapariya-,"order, ruling",arnamniyaša-,authority
*neknatar / neknann-,brotherhood,*nekatar,brotherhood
mašiyan,as much as,mašiyant-,"within a month, after a year (id."
GIŠelzi-,(pair of) scale(s),gangala-,plate (vel sim.)
kuskus,to crush.,harr,"to press, push, suppress."
šašant-,concubine,šiššiyatar / šiššiyann-,"deceitful, dishonest; unholy, unfit for sacred use"
titnu-zi,"to install, to seat, to put",seyala-i / seyal-,"to titnu, to saturate"
ninganu-zi,"to make (the ground etc.) drink to satisfaction, to drench; to make someone drunk",tekanna-i / mark-,to make blue
warpa-,?,palkuiye/a- (tt) a (ri),enclosure
akutalla-,container of water,lau-,caterpillar?
si,this (§105a.,anni,to do; to realize; to father; to celebrate (a feast); to heal (with a ritual) (id.
zanu-zi,to cook (trans.),zanu-zi,to make cross
paršna-,heel?,šallai-,leopard
palhasti,width.,palhessar,"across (to), over (to)"
ḫatkešnu-zi,"to make tight, to put pressure on",atganu-zi,"to make tight, to put pressure on"
išḫuwanna-i / išḫuwanni-,to throw (impf.),papra-i / papri-,"to swallow, to sip"
hahhars,to laugh.,eshar,to harvest.
ḫaluganae-zi,to bring news,aššura-i / aššur-,"to signal, to signal, to give a sign or an omen"
assiyatar,love.,ammiyant,adv.
karpi-,"wrath, anger, fury",karpi- / karpi-,"rage, fury, wrath"
hassant,born (part.,hassu,"haste, urgency."
happiriya,town (id.,āppiriya,"to press, stab, strike."
naḫšariyawant-,afraid,weritema-,"fear, fright; respect, reverence, awe; frighfulness"
kūt- / kutt-,wall,KUŠtar / kūn-,"death, doom, deadly disease, plague"
DUGišpantuwa-,libation-vessel,(DUG) išpantuzziyašar,bread-server
ēšḫarwaḫḫ-i,to make blood-red,išarnu-zi,to make yellow (green)
nekku,not?,kiš?,and now
« padumma-,foot(?) (of a bed),pāt-,earth; goddess of the earth
pišnātar / pišnann-,"manhood, virility; male parts",muwatallatar / muwatallatn-,pitch
ardāla,saw.,saw,"tongue; talk, rumors (id."
pir,house (§89a; id.,huis,adv.
ḫarranu-zi,"to grind, to destroy",malla-i / mall-,to sprinkle
uwa,to come (Akk.,uwa,"from au (s) - ""to see"" (§176)."
harrant,"crushed, spoiled, rotten (part.",marsant,"necklace, headdress (id."
armae-zi,to be pregnant,armawant-,"to fear, to be frightened"
lingant,oath.,link,adv.
šākuwa-,eye,sakuwa-,one
kurtali,"container, vessel.",tuppa,adv.
peššiye/a-zi,"to throw away, to cast, to shove; to abandon; to cast off; to ignore",šallai-i,"to rub, to scrub (with soap)"
*parā(-)nekna-,"half-brother(?), step-brother(?)",(TÚG) šarlatar / šarlatann-,eagle
ḫulḫul(iy)a-,wrestling,ullanzeššar / ullanzešn-,"infliction, defeat"
"GIŠwera-, ura-","plate, tray",(URUDU) takšar / takšar,mirror
LÚkuwan- / kun-,hound-man,LÚāššuššanni-,"son-in-law, bride; son-in-law"
wakkariye/a-zi,"to rebel against, to revolt against",marrešš-zi,to be obstinate
kišt-āri,"to perish, to be extinguished",ark-zi,hunger
(NA4)paššila-,"stone, pebble; gem, precious stone",NA4paššilant-,"cubit, ell"
uwate,to bring.,uhu,to bring up.
nahhant,"anxious, cautious.",pittuliya,"fear, fright."
salik,to come near; to commit an outrage; to shoot.,watkunu,"tall, big; well considered."
āppalae-zi,to entrap,pāš-i / paš-,"to be happy, to entertain (oneself), to play"
kunnēšš-zi,to turn out right,aššuma-i / aššuma-i / aššuma-i / aššuma-i / aššuma-i / aš,to kneel
kessera,hand (id.,sakuwa,"cap, headdress (woman headdress); length of cloth."
zaluganu,"to last, stretch in time.",hatk,to plaid together.
karpēšš-zi,to become angry,karp (iye/a) -tta (ri),to become yellow
istap,to close; to block.,hatk,to stay; to walk; to stand; to care for s.
sēr,adv.,nūwān,consequently.
other,"in one, together.",i,"to go into, make a friendship with."
(SÍG)pittula-,"loop, knot",(GIŠ) ulāli-,"abdomen, lap"
imma,adv.,nūwān,"truly, really, indeed"
GIŠtallāi,"flask, small bottle.",DUGpalha,buckle (id.
kett=a kett=a,"on one hand, on the other",šīi- / šīi-,a kettle
anni-,"that, the already mentioned one",apāšša,pasture
malteššar / maltešn-,"recitation, vow, votive offer, ritual",lūeššar / lūešn-,malteššar
išta(n)ḫ-zi,"to taste, to try (food or drinks)",kukuš-zi,"to stay, to linger, to be late"
mašiyanki,however many times,mašiyant-,"in some way, somehow, perhaps"
iškalla-i / iškall-,"to slit, to split, to tear",paršul (l) ae-zi,"to smear, to daub, to salve, to oil, to anoint"
apatta(n),there,kān (i),"fatherlessness, paternal, readiness to act swiftly"
dankuneške/a-zi,to make black,danku (wa) nu-zi,to become black
araḫziya-,alien,araza-,"bordering, adjoining, surrounding; outer, external, foreign, alien"
sissa,to inculcate.,zikre,"if, when"
mimma,to refuse; − to reject s.,reject,"mimm- ""to mim"" (§11)."
kuemi,"I kill (from kuen-, §31a).",kuen,conj.
ḫatukēšš-zi,to become terrible,atuk-zi,to become terrible
aiš- / išš-,mouth,(UZU) amari-,"(midd.) to sit down, to seat oneself; (+ =ššan) to sit; (act.) to sit, to reside; (trans.) to settle"
kattawātar,"vengeance, retaliation, revenge; compensation, retribution (Akk.",arha,"grief, affliction."
wātarnaḫḫ-i,"to order, to instruct",ārk-i / ark-,to?
kardimiyawant-,angry,kartimmiyawant-,yellow ( yellow)
ishuzzi,belt.,kutruzzi,buckled with sth (with Acc.
tiyantiye/a-zi,"to set up, to erect",īšša-i / īšš-,"to stir (up), to churn, to cause to ferment, to incite"
parā,adv.,nūwān,"out (to), forth, toward"
sipand,to make a libation; − (with an animal as object =) to spill the blood of an animal.,su,horn (musical instrument).
tatrant-,"agitated, aggressive (cow); sharp-edged (stone)",galaktar / galaktar,"word, speech; thing, case; story; reason"
tuzzi-,"army, military forces; military camp",tuzziyašeššar,army
pariyanalla-,future,āššarwātar / āššarwann-,"across (to), over (to)"
kēz,adv.,nūwān,on one side − on the other side.
ḫappešnant-,"joint, limb, member, body part",(UZU) appeššar / appešn-,"baking kiln, fire-pit"
handais,heat.,hitta,to handa.
paršnu-zi,to break up; to break open (with arḫa),parš-a (ri),"to make flee, to chase away"
kallar-,"inauspicious, unpropitious, baleful, enormous",kallareššar / kallarešn-,"inauspiciousness, unfavourable response of an oracle, enormity, excess"
"mekk-, mekki- / mekkai-","much, many, numerous",peran ped (d) unaš,"combination, arrangement, settlement"
hazzēla,handful (quantity).,happeššar,"to push, stab, strike."
mene,face.,peshan,"to lead, lead; to execute, realize."
nahsaratt,fear; respect.,nahhan,"fear, fright."
ehu,"here! − come! (used as imperative of uwa- ""to come""; §164 2b).",uhha,the one afore mentioned (§117b).
"meḫuwandaḫḫ-i, miyaḫuwantaḫḫ-i","to make old, to age; (midd.) to become old, to grow old",miya-i / miya-,"to swing, to swing, to pluck, to harvest"
*šiuniye/a-zi,?,palkuiye/a- (tt) a (ri),"to do the right thing, to put off; to pluck, to harvest"
